States;LabourForcePopulation
Abia;1908491
Adamawa;1513562
Akwa Ibom;3350237
Anambra;3148546
Bauchi;2008028
Bayelsa;1284278
Benue;2666392
Borno;2303945
Cross River;1833797
Delta;2979349
Ebonyi;1468014
Edo;2005969
Ekiti;1702942
Enugu;2375926
Gombe;944810
Imo;2977508
Jigawa;1444558
Kaduna;3319127
Kano;3804053
Katsina;1750337
Kebbi;1497968
Kogi;2363205
Kwara;1545269
Lagos;7267578
Nasarawa;1302151
Niger;1838063
Ogun;3047818
Ondo;2430191
Osun;2405870
Oyo;3947115
Plateau;1976093
Rivers;4241501
Sokoto;1590015
Taraba;2150247
Yobe;1054984
Zamfara;1432415
Fct;1657169
